Title,Country,Period,Classification
"Price List of Wire Flower Stands, Etc.",Null,Date Unknown,Books
A Stone Tomb in a Forest; verso: Study of a Flower,Null,Date Unknown,Drawings
Woman Holding a Falcon and a Flower,Null,Date Unknown,Plaquettes
"New Year's Wishes for 1953, with a flower",Null,Date Unknown,Prints
Design for wall panels with putti and flower garlands,Null,Date Unknown,Drawings
"Trinity: Tall Box Leaning, Box With Dot, Long Flower Box",Null,Date Unknown,Prints
Standing female figurine holding a flower,Cyprus,7th - 5th Century BCE,Terracottas
View of the Flower Garden and Aviary at Kew,Null,Date Unknown,Drawings
Board game of the Flower Stage (Hanabutai atari sugoroku),Japan,19th - 20th Century,Prints
Necklace flowers,Null,Date Unknown,Gold and Silver
Flower Design,Null,Date Unknown,Prints
Flower Design,Null,Date Unknown,Prints
Desert Flower,Null,Date Unknown,Prints
Flower Sellers,Null,Date Unknown,Prints
Maize God emerging from a flower,Mexico,Date Unknown,Ceramics
Plum Flower,Null,Date Unknown,Prints
Spirit Flower,Null,Date Unknown,Prints
Flower Study,Null,Date Unknown,Drawings
Flower Study,Null,Date Unknown,Prints
Flower study,Null,Date Unknown,Prints
Flower Show,Null,Date Unknown,Prints
Hexagonal flower vase with magic fungus handles,China,13th - 14th Century,Metalwork
Flower Vendor,Null,Date Unknown,Drawings
"Bead pendant, with lotus flowers",Null,Date Unknown,Gold and Silver
"Bead pendant, with lotus flowers",Null,Date Unknown,Gold and Silver
"Bead pendant, with lotus flowers",Null,Date Unknown,Gold and Silver
"Bead pendant, with lotus flowers",Null,Date Unknown,Gold and Silver
"Bead pendant, with lotus flowers",Null,Date Unknown,Gold and Silver
Flower Vendor,Null,Date Unknown,Prints
Flower Basket,United States,Date Unknown,Not Assigned
Flower Designs,Null,Date Unknown,Prints
Orthostat relief: seated figure holding a lotus flower,Syria,12th - 8th Century BCE,Not Assigned
Flower Study,Null,Date Unknown,Not Assigned
Flower study,Null,Date Unknown,Not Assigned
Terracotta vessel fragment with reticulated pattern enclosing conventional flowers,Greece,32nd - 12th Century BCE,Vases
Flowering Tree,India,Date Unknown,Codices
Vase with Flowers,China,18th Century,Ceramics
Vase with Flowers,China,18th Century,Ceramics
Jar with Flowers,China,18th Century,Ceramics
Dish with bird and flowers,China,17th - 20th Century,Ceramics
Flower vase (vase hollandais nouveau) (one of a pair),Null,Date Unknown,Ceramics
Flower vase (vase hollandais nouveau) (one of a pair),Null,Date Unknown,Ceramics
Mirror with lions and flowers,China,7th - 10th Century,Mirrors
Limestone statuette of a female votary holding a flower,Greece,7th - 5th Century,Sculpture
"Figures, flowers, and landscapes",China,14th - 19th Century,Paintings
Limestone statuette of a female votary holding a flower,Greece,5th - 4th Century BCE,Sculpture
Service with Decoration of Flowers and Birds,China,12th - 14th Century,Metalwork
Garden seat with birds and flowers,China,14th - 17th Century,Cloisonné
Two terracotta fragments of a large jar with reticulated pattern enclosing conventional flowers,Greece,32nd - 12th Century BCE,Vases
Flower vase with stand (vase hollandais nouveau) (one of a pair),Null,Date Unknown,Ceramics
Flower vase with stand (vase hollandais nouveau) (one of a pair),Null,Date Unknown,Ceramics
Horizontal Panel with Decorative Flowers on a Vine and a Yellow and Gold Flower Above,Null,Date Unknown,Drawings
"How to know the wild flowers : a guide to the names, haunts, and habits of our common wild-flowers",Null,Date Unknown,Not Assigned
Dish with Flowering Plum and Birds,China,13th - 14th Century,Lacquer
"Landscapes, Figures, and Flowers",China,14th - 17th Century,Paintings
Horizontal Panel with Decorative Flower with Layers of Alternating Blue and Gray Petals,Null,Date Unknown,Drawings
Vertical Panel with a Decorative Flower with Three Blue Leaves on a Yellow Background,Null,Date Unknown,Drawings
Vertical Panel with a Flower Arrangement in a Vase Above a Series of Rectangles and White Circles,Null,Date Unknown,Drawings
Vertical Panel with a Pattern of Three Overlapping Leaves Alternating with a Decorative Flower,Null,Date Unknown,Drawings
Bowl with imaginary composite flowers,China,19th Century,Ceramics
Keman (“Flower Garland” Temple Decoration),Japan,17th - 19th Century,Metalwork
Keman (“Flower Garland” Temple Decoration),Japan,17th - 19th Century,Metalwork
Keman (“Flower Garland” Temple Decoration),Japan,17th - 19th Century,Metalwork
Keman (“Flower Garland” Temple Decoration),Japan,17th - 19th Century,Metalwork
Keman (“Flower Garland” Temple Decoration),Japan,17th - 19th Century,Metalwork
Keman (“Flower Garland” Temple Decoration),Japan,17th - 19th Century,Metalwork
Flower basket,Null,Date Unknown,Metalwork
Ornamental Design with Fruit and Flowers (recto); Flower Stalk with Leaves (verso),Null,Date Unknown,Drawings
Book of Humorous Poems on the Cherry Flower and the Maple Leaves,Japan,17th - 19th Century,Illustrated Books
Large Dish with Flower Vases and Landscapes in Cartouches,Japan,17th - 19th Century,Ceramics
"Design drawing of flower buds and seedpods of floral capitals from loggia, Laurelton Hall",Null,Date Unknown,Not Assigned
Camellia Flower and Yokan (a sort of bean jelly) Wrapped in Bamboo Skin,Japan,17th - 19th Century,Prints
Design for Single Footed Dish with Cover Shaped like Flower and Foliage,Null,Date Unknown,Drawings
"""Refined Elegance in the Four Seasons"" (Shiji seiga), Album of Flower Paintings",Japan,17th - 19th Century,Paintings
Hexagonal Jar with Flower and Bird Decoration (one of a pair),Japan,17th - 19th Century,Ceramics
Hexagonal jar with Flower and Bird Decoration (one of a pair),Japan,17th - 19th Century,Ceramics
True Depictions of Bird and Flower Pictures (Kachōe shashin zui) 花鳥写真図彙; 花鳥写真図会(かちょうえ しゃしん ずえ),Japan,17th - 19th Century,Illustrated Books
Fragment of a Carpet with Niche and Flower Design,Null,Date Unknown,Textiles
"Horizontal Panel with Decorative Purple Flower at Center, Flanked by Yellow Floral Designs Below",Null,Date Unknown,Drawings
Set of wine cups with flowers of the twelve months,China,17th Century,Ceramics
"[Bedroom Interior with Hanging Light Fixture, Flower Print Wallpaper, and Decaying Ceiling]",Null,Date Unknown,Negatives
Book cover with overall pattern of stars or flower shapes and dots,Null,Date Unknown,Prints
Shard:  Shoulder of Vessel with Profile of Offerer with Flower,Null,Date Unknown,Ceramics
"Venus, standing with the three Graces, is offered a flower from a putto",Null,Date Unknown,Prints
"Palm and Flower Drive, Westlake Park, Los Angeles, Cal.",Null,Date Unknown,Prints
"Two Plaques from a Tantric Ritual Apron, Kinnari, and Lotus Flower",Null,Date Unknown,Ivories and Bone
The Flower Market,Null,Date Unknown,Prints
"Plan of the Flower Garden on the Northern Front, Ingestre Hall, Staffordshire",Null,Date Unknown,Drawings
Cloisonne furniture plaque with an infant on a lotus flower,Iraq,10th - 7th Century BCE,Not Assigned
Chiyoda Inner Palace: No.20 Flower Arranging in Turn (Chiyoda no Ōoku: Chanoyu mawaribana),Japan,19th - 20th Century,Prints
"Teahouse girl and servant: Snow from the series Comparison of Snow, Moon and Flower Beauty",Japan,17th - 19th Century,Prints
"Design for a Wall with a Flower Vase, Birds, Two Gold Fish and Globe Fountains",Null,Date Unknown,Drawings
Collection of Flower Brocades (Kinkashū) 錦花集; 上京帰路待請狂歌錦花集(じょうきょう きろ まちうけ きょうか きんかしゅう)  ; 東海道 狂歌錦花集(とうかいどう きょうか きんかしゅう),Japan,17th - 19th Century,Illustrated Books
Limestone head of a beardless male with a wreath of flower buds,Null,11th Century BCE - 8th Century CE,Sculpture
Hanging Flower Basket (Kake-hanakago) in the Shape of a Cicada,Japan,19th - 20th Century,Basketry
"The Oxford Drawing Book to which is added, Lessons in Flower Drawing",Null,Date Unknown,Books
"The Flower Seller and the Undertaker, from ""The Complete Works of Béranger""",Null,Date Unknown,Prints
Flower and Bird,China,17th - 20th Century,Paintings
Flower Still II,Null,Date Unknown,Photographs
[Indian Flower Vendor],Null,Date Unknown,Photographs
Flower and Bird,Null,Date Unknown,Paintings
Moon flask with white flower motif on raised foot with flat handles,Null,Date Unknown,Ceramics
Dish with six-petalled flower design and floral scroll on cavetto,Null,Date Unknown,Ceramics
"Stained-glass Flower Cupboard for Living Room or Hall (Bradley House, ""Ladies Home Journal"", 1901–1902)",Null,Date Unknown,Drawings
The flower market,Null,Date Unknown,Prints
Bloomingdale Flower Basket,Null,Date Unknown,Prints
Snow. Moon. Flower,Null,Date Unknown,Prints
Elevation of a Double Wall Sconce with a Flower in a Basket,France,Date Unknown,Drawings
Flower and Rock,Null,Date Unknown,Paintings
"Dish with rocks, flowers, and birds",Null,Date Unknown,Ceramics
Bottle with flowers of the four seasons,Null,Date Unknown,Ceramics
"Dish with rocks, flowers, and birds",Null,Date Unknown,Ceramics
Dish with auspicious flowers and fruits,China,17th - 20th Century,Enamels
"Dish with flowers, fruits, and butterfly",China,18th Century,Enamels
Vase in Shape of Archaic Bronze Vessel with Flowers and Birds,China,17th Century,Ceramics
Vase with Flowers,China,18th Century,Jade
"Ornament, flower-shaped mount for stone base",Null,Date Unknown,Gold and Silver
"Ornament, flower-shaped mount for stone base",Null,Date Unknown,Gold and Silver
"Ornament, flower-shaped mount for stone base",Null,Date Unknown,Gold and Silver
"Ornament, flower-shaped mount for stone base",Null,Date Unknown,Gold and Silver
Portrait of a Girl with Flowers,Null,Date Unknown,Not Assigned
Still Life—Flowers and Fruit in White and Pink Bowl,Null,Date Unknown,Not Assigned
Teapot with Japanese-style flowers,Null,Date Unknown,Ceramics
Vase with Flowers and Scholar’s Implements,China,17th Century,Ceramics
Vase with Flowering Plants and Birds,China,17th Century,Ceramics
Plate with Basket of Auspicious Flowers,China,17th Century,Ceramics
Lotus-leaf formed tray with flowers and fruits,China,17th - 20th Century,Enamels
"Lobed dish with flowers, fruits, and insects",China,17th - 20th Century,Enamels
Bowl with flowering vine,United States,Date Unknown,Not Assigned
Basket of flowers,Null,Date Unknown,Ceramics
Vase with Basket of Auspicious Flowers,China,18th Century,Ceramics
"Sea Flower (Actinia Senilis), from the Flowers series for Old Judge Cigarettes",Null,Date Unknown,Prints
Lady's Hand and Flowers,Null,Date Unknown,Not Assigned
Dish with flowers and birds,Null,Date Unknown,Ceramics
Bowl with flowers,China,18th Century,Ceramics
Tapestry with Dragons and Flowers,Null,Date Unknown,Textiles
Vertical Panel with Crescent-Shaped Flower in the Lozenge at Center and Bows of Alternating Purple and Gold Lines Above and Below,Null,Date Unknown,Drawings
"Ornament, flower-shaped mount for stone bead",Null,Date Unknown,Gold and Silver
"Ornament, flower-shaped mount for stone bead",Null,Date Unknown,Gold and Silver
“Woman” Flower Basket (Hanaire),Japan,20th - 21st Century,Basketry
"One Hundred Comic Poems of the Flower, One of the Three Friends, Tsuki, the Moon, Yuki, the Snow, and Hana, the Flower",Japan,17th - 19th Century,Illustrated Books
"Lobed tray with rock, flowers, and butterflies",China,17th - 20th Century,Enamels
Meadow Flowers Vase,Null,Date Unknown,Glass
Covered box with flowering plum,China,12th - 14th Century,Ceramics
"Vase with landscape, flowers, and gardens",China,17th Century,Ceramics
Dish with Pattern of Flowering Plants,Turkey,Date Unknown,Ceramics
Textile Design with Alternating Rows of Circular Flower Buds on Stems with Two Leaves and Decorated by Pearls Framed with Garlands of Branches,Null,Date Unknown,Drawings
"Flower Dance, from National Dances (N225, Type 2) issued by Kinney Bros.",Null,Date Unknown,Prints
Cornflower-Bead Necklace,Egypt,16th - 11th Century BCE,Not Assigned
Plate Depicting a Flowering Bush in Two-Toned Luster,Iraq,Date Unknown,Ceramics
"Portrait of Girl in Flower Bower, Walking Draped Female Figure, Angel, Dead Mother and Child, Three Draped Figures (from Sketchbook)",Null,Date Unknown,Not Assigned
Case (Inrō) with Design of Young Woman with Flower Basket of Plum Blossoms (obverse); Four Large Characters (reverse),Japan,17th - 19th Century,Inrō
"Actress with long hair seated with flower on lap, from the Actresses series (N668)",Null,Date Unknown,Photographs
"She gathers the fairest flower (Il più bel fior ne coglie), a group of six putti working together in an arched workshop",Null,Date Unknown,Prints
"Saint Catherine of Alexandria, kneeling with her elbow resting on the spiked wheel, and an angel crowning her with a flower wreath",Null,Date Unknown,Prints
Le Parterre de Nancy ou Jardin de Nancy (The Flower Bed of Nancy or the Garden of Nancy),Null,Date Unknown,Prints
Flower Child and Soldiers,Null,Date Unknown,Photographs
"Flower Dance, from National Dances (N225, Type 1) issued by Kinney Bros.",Null,Date Unknown,Prints
"Flower Dance, from National Dances (N225, Type 1) issued by Kinney Bros.",Null,Date Unknown,Prints
"Flower Dance, from National Dances (N225, Type 1) issued by Kinney Bros.",Null,Date Unknown,Prints
"The Flower Fair, Spain, from the Holidays series (N80) for Duke brand cigarettes",Null,Date Unknown,Prints
"Flower Day, Japan, from the Holidays series (N80) for Duke brand cigarettes",Null,Date Unknown,Prints
Air Flower (Fleur d'air),Null,Date Unknown,Prints
Flowerpot and stand,United States,Date Unknown,Not Assigned
Faceted vase with flowers,China,13th - 14th Century,Ceramics
Vase with Rocks and Flowers,China,17th - 20th Century,Ceramics
Vase with Basket of Auspicious Flowers,China,18th Century,Ceramics
"39. Pasque Flower, bakery insert card from the Flower Pictures series (D36), issued by the Freihofer Baking Company",Null,Date Unknown,Prints
"Single-cut (Ichijūgiri) Flower Container, “Yoshinoyama” (Mount Yoshino)",Japan,17th - 19th Century,Basketry
"1. Crocus, bakery insert card from the Flower Pictures series (D36), issued by the Freihofer Baking Company",Null,Date Unknown,Prints
"20. Columbine, bakery insert card from the Flower Pictures series (D36), issued by the Freihofer Baking Company",Null,Date Unknown,Prints
"4. Orange, bakery insert card from the Flower Pictures series (D36), issued by the Freihofer Baking Company",Null,Date Unknown,Prints
"11. Hepatica, bakery insert card from the Flower Pictures series (D36), issued by the Freihofer Baking Company",Null,Date Unknown,Prints
"24. Rhododendron, bakery insert card from the Flower Pictures series (D36), issued by the Freihofer Baking Company",Null,Date Unknown,Prints
"7. Mistletoe, bakery insert card from the Flower Pictures series (D36), issued by the Freihofer Baking Company",Null,Date Unknown,Prints
"13. Spiderwort, bakery insert card from the Flower Pictures series (D36), issued by the Freihofer Baking Company",Null,Date Unknown,Prints
"30. Dandelion, bakery insert card from the Flower Pictures series (D36), issued by the Freihofer Baking Company",Null,Date Unknown,Prints
"19. Trumpet Vine, bakery insert card from the Flower Pictures series (D36), issued by the Freihofer Baking Company",Null,Date Unknown,Prints
"25. Syringa, bakery insert card from the Flower Pictures series (D36), issued by the Freihofer Baking Company",Null,Date Unknown,Prints
"2. Moccasin, bakery insert card from the Flower Pictures series (D36), issued by the Freihofer Baking Company",Null,Date Unknown,Prints
"18. Apple Blossom, bakery insert card from the Flower Pictures series (D36), issued by the Freihofer Baking Company",Null,Date Unknown,Prints
"5. Holly, bakery insert card from the Flower Pictures series (D36), issued by the Freihofer Baking Company",Null,Date Unknown,Prints
"35. Iris, bakery insert card from the Flower Pictures series (D36), issued by the Freihofer Baking Company",Null,Date Unknown,Prints
"47. Clover, bakery insert card from the Flower Pictures series (D36), issued by the Freihofer Baking Company",Null,Date Unknown,Prints
"31. Buttercup, bakery insert card from the Flower Pictures series (D36), issued by the Freihofer Baking Company",Null,Date Unknown,Prints
"28. Trillium, bakery insert card from the Flower Pictures series (D36), issued by the Freihofer Baking Company",Null,Date Unknown,Prints
"46. Anemone, bakery insert card from the Flower Pictures series (D36), issued by the Freihofer Baking Company",Null,Date Unknown,Prints
"40. Lupine, bakery insert card from the Flower Pictures series (D36), issued by the Freihofer Baking Company",Null,Date Unknown,Prints
"16. Geranium, bakery insert card from the Flower Pictures series (D36), issued by the Freihofer Baking Company",Null,Date Unknown,Prints
Vase with Flowers,China,19th Century,Jade
Vase with Flowers,China,19th Century,Jade
Gourd-shaped Flower Basket (Hyōtangata hanakago),Japan,20th Century,Basketry
Bouquet of Flowers,Null,Date Unknown,Drawings
Plate with vase of flowers,China,14th - 17th Century,Ceramics
