Title,Country,Period,Classification,_ - description
Botanical Plate,France,19th Century,Ceramics,"Rim with a 'gros bleu marbrè' ground and bands of gilt neo-classical inspiration. Center painted with two branches of a yellow flower with lush, thick foliage, the cavetto with a gilt band of laurel leaves."
"Hair Ornament, one of a pair",China,11th Century,Adornment,five pointed leaf motif with six leaved flower (in plain and twisted wire) within it; a multiple leaved blossom at center; pin extends down from center
Flora Kneeling,France,19th Century,Sculpture,crouching female figure with swags of a variety of flowers on an oblong octagonal base
Juin (June),United States,20th Century,Textiles,"floral print; red flowers; green, light blue, fuschia and white details on blue ground"
Plate with fruits and flowers,China,18th Century,Ceramics,deep blue band border gilt with stars outside a narrow red band; painted with fruit and flowers within blue and gilt frame
Platter,China,18th Century,Ceramics,painted à la Pompadour central flower spray; rim with four cartouches and floral crowned eagles or fish
Armorial Plate,China,18th Century,Ceramics,octagonal; gray glaze; floral center; border with flower sprigs; gilt rim; coat of arms and motto 'I Mean Harm to None'
"Plate with blue floral decoration, one of two",China,18th Century,Ceramics,octagonal panels of vases of flowers and tied scholars' utensils; border of floral sprays around blue scrolls; yellow rims
"Plate with blue floral decoration, one of two",China,18th Century,Ceramics,octagonal panels of vases of flowers and tied scholars' utensils; border of floral sprays around blue scrolls; yellow rims
"Walter Mondale and Child, St. Paul",United States,20th Century,Photographs,Walter Mondale being photographed with young Asian girl holding flowers
Plate with figure in landscape,China,18th Century,Ceramics,"blue and white porcelain plate standing lady immortal holding basket of flowers over shoulder flanked by spotted deer and lingzhi sprays, lattice-work panelled cell-pattern border"
Famille Rose Plate,China,18th Century,Ceramics,"porcelain famille rose plate pair of ducks and two geese in flight, birds standing on rockwork, border with peony and flowering plants"
Armorial dinner plate,China,18th Century,Ceramics,"armorial dinner plate gray glaze floral center, border with flower sprigs, gilt rim, coat of arms and motto 'I Mean Harm to None'"
Armorial plate,China,18th Century,Ceramics,"plate with central large coat of arms in colors and gilt, scattered flower sprays rim with gilt wheat-husks within purple, blue and gilt borders"
"Vase, one of a garniture of five",China,18th Century,Ceramics,"vase, one of a garniture of five, lobed bodies, flared necks, painted baskets of flowers, squirrels, berried vines and roses in colored relief"
America,Germany,18th Century,Ceramics,"porcelain group 'America', from a set of the Continents, nymph in feathered headdress, shawl and skirt, parrot perched on right hand, a cornucopia of fruit and flowers in left, seated on alligator on rectangular flower-encrusted base"
Plate,China,18th Century,Ceramics,"plate decorated with blue, white and bianco-sopra-bianco border of flowers, gilt spearhead inner border, pastoral scene with Chinese boy riding a bull, mountain and trees, border with three cartouche scenes"
Saucer Dish,China,18th Century,Ceramics,decorated with encircled four-character mark Da Ming Nian Zhi; famille rose vividly painted with insect beside flower sprays
Plate with man riding an elephant for the Indian market,China,18th Century,Ceramics,"center with rose and green costumed maout with iron-red hat, holding a whip, seated on a brown elephant; iron-red and gilt border with green and blue flowerheads"
Punch bowl with Swedish banknote,China,18th Century,Ceramics,"made for the Swedish market; interior en grisaille and white; motifs from a nine taler banknote of 1762, caligraphy and two oval cartouches, one with seated figure holding a shield with Swedish arms, the other inscribed 'Sverigesrikes Standers Bank transp sedel. anno 1762'; exterior en grisaille and gilt with peony, rose and other flowers."
Armorial tankard,China,18th Century,Ceramics,"famille rose armorial, loop handle; large coat-of-arms and stag crest between flower festoons and chain band"
Sampler,United States,19th Century,Textiles,needlepoint sampler with alphabet and numbers; white house with green doors and windows lower center; border of leaves and tan flowers; framed and glazed
Barrel-Shaped Garden Stool,China,15th Century,Ceramics,"central body has four cartouches containing a flowering peony rising from the ground, top incised with a trellis pattern, unglazed base rim"
Incense Cylinder,China,18th Century,Woodwork,carved with lotus flowers and leaves; small crab near base
Brush Pot,China,16th Century,Woodwork,carved in relief with lotus flowers
Bottle in the Shape of a Bale of Rice,Korea,15th Century,Ceramics,"Punch'ong / Buncheong stoneware wine bottle in 'rice bale' shape, painted in underglaze iron brown on brushed slip; flowering plant with two drooping stems"
White and Red Plum Blossom,China,16th Century,Paintings,"image of a red and white prunus in flower, text fields placed within branch openings, nine separate grouping of text within image; separate text field at end contained in four separate inscriptions"
Salad bowl with J.A. monogram,China,18th Century,Ceramics,white with blue and gilt star border; filt flowers on two sides and bottom center; JA monogram on two sides
Ruyi scepter,China,18th Century,Metalwork,bronze oval with grey jade pierced phoenix and lotus; shaft with similar rectangular jade; base with jade flowers; metal surface with hibiscus and peony scrolls
Dish with arms of Skinner,China,18th Century,Ceramics,"famille rose; arms of Skinner; spearhead border; four central reserves of emblems; pink ground rim with three flower sprays and family crest; four orange floral decorations on bottom edge, underside"
Punch bowl with the arms of Stewart,China,18th Century,Ceramics,"arms of Steward, son of Lord Blantyre on two sides; bird crest; motto 'Sola Juvant Virtus'; initials AS at sides; flower sprays on sides; chain pattern bands inside rim; white; gilt trim on rim; cornucopia bottom centers"
Armorial plate,China,18th Century,Ceramics,"grey glaze; floral centers; borders with flower sprigs; gilt rims; coat of arms and motto, 'I Mean Harm to None'; floral spray lower center; crest upper center with scrolls into top edge"
"Taxco, Mexico",United States,20th Century,Photographs,"courtyard; tree with purple flowers, right half; white wall UL half"
Dandelion,United States,20th Century,Photographs,two images joined by bent white coated wire; top image dandelion flower; bottom image dandelion leaves; bottom image mounted on black base
Covered sugar pot,England,18th Century,Ceramics,"ceramic covered sugar pot; blue and white with addition of green, yellow and red; design of two vases with flowers opposed by a flying bird"
Headdress (taounza),Morocco,20th Century,Adornment,bowed rectangular band inlaid with alternating fields of green and yellow flower designs within squares; central red raised circle; coins used to adorn band and to extreme ends of crossing chain; inlaid clasps at sides
Grogger (noise maker),India,20th Century,Judaica,ivory noisemaker; extension carved with flowers and crosshatched designs; plexi stand
Lotus in Bloom,Japan,19th Century,Paintings,close-up view of a lotus flower and leaves; brushed in the boneless ink-wash style
Portrait of a Young Boy,United States,19th Century,Paintings,"Portrait. American Folk art. Little boy wearing blue dress, white pantaloons and black shoes holding a watch on a long chain up to his proper right ear; dog behind boy on his proper right side and pot of flowers on his proper left side."
Ornamental relief,United States,19th Century,Architecture,Flower-like central medallion surrounded by organic motifs; mounted to a plywood backing
Achillea Filipendulina (Yarrow),Germany,20th Century,Photographs,"small, tight clusters of flowers"
Asclepias Speciosa (Silkweed),Germany,20th Century,Photographs,"cluster of star-shaped, five-petaled flowers"
Phacelia Tanacetifolia (Wild Heliotrope),Germany,20th Century,Photographs,two curved plant segments; bottom segment has flower blooming in center
Achillea Millefolium (Milfoil),Germany,20th Century,Photographs,"small light-colored flowers, clustered closely together"
