Title,Period,Country,Classification,Description
"Child Standing on a Chair Holding Flowers, with Mother",19th Century,Null,Photograph,"Until the mid-1850s the daguerreotype process was the method preferred by the commercial photographers willing to meet the ever-growing demand for likenesses of family and friends. This daguerreotype captures the patience of a mother and child, who were required to hold their poses for some time during the exposure of the silver-coated copper plate. Only the bouquet of flowers held by the child is slightly blurred. Characteristic of the technique, the details in the image—fabric, facial features, and accessories—are clearly defined."
Sword Guard (Tsuba) with Flower,17th - 19th Century,Null,Arms and Armor,
Water Container with Birds and Flowers,17th Century,Null,Ceramics,"The shape of this small vessel suggests it may be a fresh-water container included among the tools used in Japan for preparing steeped tea, introduced to Japan by Chan (Zen) monks from southern China in the mid-1600s."
Railing Pillar with a Yakshi (Female Nature Divinity),2nd Century,Null,Sculpture,"This pillar would have been an upright of a stair banister, probably leading to an upper circumambulatory path of a Buddhist or Jain sacred monument known as a stupa. It has the image of a nature divinity grasping the branch of an ashoka tree with one hand and touching her breast full of nourishing milk with the other. The reverse side of the pillar is decorated with a stupa at the top and a partially damaged scene set in the architectural framework below."
Maharana Bhim Singh of Mewar (r. 1778–1828) with a Consort,19th Century,India,Painting,"The consort folds her hands in devotion to the Maharana whose glory is highlighted with a halo behind his head. The Maharana fondly holds the chin of his paramour and appears to be in the process of putting a garland around her neck. One of the most celebrated artists in the history of painting at Mewar, Chokha has nestled the couple in an overabundance of bolsters, their chamber covered with pink flower petals and draped with yellow garlands."
"Vasudhara, Goddess of Abundance",14th - 15th Century,Null,Sculpture,"In Nepal this female counterpart of the god of wealth is one of the most popular divinities. This image was set up in either a domestic shrine or a Buddhist monastery, where devotees would pray to her for wealth, prosperity, and children. In each of her six arms she holds objects pertaining to life and abundance: jewels, an overflowing pot, and a sheaf of wheat. A Buddhist philosophical text rests on top of the lotus flower she holds in her topmost left hand, suggesting that wealth and prosperity can derive from the acquisition of true knowledge."
Brahma,19th Century,Null,Painting,"The god of creation has four arms and four heads. The manuscript in his upper right hand indicates that he is the source of sacred knowledge as the quintessential Brahman. The lotus flower in his lower right hand references birth and procreation. He would typically hold a rosary and water pot in his left hands, which are here difficult to clearly identify given the cursory style of Kalighat painitngs. His mount, the goose, examines the ground at his feet."
"Rati, the Goddess of Erotic Love, Takes Aim at Krishna, from a Rasikapriya",17th Century,Null,Painting,"In a brightly lit chamber, the heroine (nayika) confers with her confidante (sakhi), perhaps to convey a message to Krishna, who sits in a grove near a lotus pond at the lower right. In the lower left corner, Rati shoots a flower arrow at Krisha to smite him with love for the nayika. The empty bower in the upper right awaits the lovers’ tryst."
Fragment of Lotus Flower,14th Century,Null,Embroidery,
London Types: Flower Girl,19th Century,England,Print,
"Flower Market, Brussels",19th Century,United States,Print,
Flower and Leaf Design,20th Century,United States,Drawing,
"Flower Vendor's Cart, Paris",20th Century,Sweden,Print,
Mallet Form Flower Vase,20th Century,Japan,Ceramics,
Flower Jar: Shigaraki-style,20th Century,Japan,Ceramics,
Marie-Yolande de Fitz-James,19th Century,France,Painting,"This portrait depicts Marie-Yolande de Fitz-James, the 12-year-old daughter of Édouard de Fitz-James. Fantin-Latour painted a series of portraits of her family members in preparation for a large group portrait that was never completed. Although Fantin-Latour frequently exhibited with his close friend Édouard Manet and the Impressionists, he remained committed to traditional studio production and never painted outdoors."
Flower Garden of Chateau Rambouillet,Date Unknown,France,Print,
Red Amida,14th Century,Null,Painting,"This rare image depicts the Crimson Crystal Buddha of Infinite Life, or Red Amida, with a red body; it is more common to see Red Amida with a red robe. His crown contains the Five Wisdom Buddhas who represent different aspects of wisdom. He is supported by a lotus flower with five- and single-pronged vajras, ritual implements derived from ancient Indian weapons. Their selection is particular to specific deities and rites and based on sacred texts."
Face Lift No. 3,20th Century,United States,Photograph,"This self-portrait shows the artist recovering from her face lift. It was taken in daylight in a garden, probably her own given the airplane whirligig, which references Noggle’s years as a professional pilot. To her face she holds a flower, a traditional symbol of the fleeting nature of female beauty. This image refutes that idea, suggesting that aging can be fought, but at a price."
